"","id","Title","Artist","Peak","Date.Entered","Successful","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"20","0aq7ohTG6VDYQvsnAYtA5e","Fireman","Lil' Wayne","32","11/19/05","0","0.469","0.73","6","-4.846","1","0.267","0.0123","0","0.408","0.343","80.682","audio_features","spotify:track:0aq7ohTG6VDYQvsnAYtA5e","https://api.spotify.com/v1/tracks/0aq7ohTG6VDYQvsnAYtA5e","https://api.spotify.com/v1/audio-analysis/0aq7ohTG6VDYQvsnAYtA5e","263547","4"
"21","0ARK753YaiJbpLUk7z5yIM","Dilemma","Nelly","1","7/13/02","1","0.725","0.534","2","-8.364","0","0.167","0.211","0","0.221","0.616","168.119","audio_features","spotify:track:0ARK753YaiJbpLUk7z5yIM","https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM","https://api.spotify.com/v1/audio-analysis/0ARK753YaiJbpLUk7z5yIM","289173","4"
"22","0aULRU35N9kTj6O1xMULRR","Magic Stick","Lil' Kim","2","4/26/03","1","0.849","0.499","2","-7.872","1","0.271","0.117","0","0.268","0.487","92.982","audio_features","spotify:track:0aULRU35N9kTj6O1xMULRR","https://api.spotify.com/v1/tracks/0aULRU35N9kTj6O1xMULRR","https://api.spotify.com/v1/audio-analysis/0aULRU35N9kTj6O1xMULRR","359973","4"
"23","0B2ZuTLZnWQ6gz8RlNwBu1","On Fire","Lloyd Banks","8","5/15/04","1","0.69","0.827","8","-4.264","1","0.232","0.104","8e-04","0.274","0.441","94.859","audio_features","spotify:track:0B2ZuTLZnWQ6gz8RlNwBu1","https://api.spotify.com/v1/tracks/0B2ZuTLZnWQ6gz8RlNwBu1","https://api.spotify.com/v1/audio-analysis/0B2ZuTLZnWQ6gz8RlNwBu1","187280","4"
"24","0bF8vEqQyvTfAMWkbP7MnY","She's More","Andy Griggs","37","3/11/00","0","0.679","0.528","7","-7.901","1","0.0267","0.0754","0","0.12","0.276","99.035","audio_features","spotify:track:0bF8vEqQyvTfAMWkbP7MnY","https://api.spotify.com/v1/tracks/0bF8vEqQyvTfAMWkbP7MnY","https://api.spotify.com/v1/audio-analysis/0bF8vEqQyvTfAMWkbP7MnY","199733","4"
"25","0capI6Wr0SYGiZ4fxvz5Gq","Raining On Sunday","Keith Urban","38","3/15/03","0","0.568","0.723","4","-5.439","1","0.0302","0.108","0","0.183","0.458","134.001","audio_features","spotify:track:0capI6Wr0SYGiZ4fxvz5Gq","https://api.spotify.com/v1/tracks/0capI6Wr0SYGiZ4fxvz5Gq","https://api.spotify.com/v1/audio-analysis/0capI6Wr0SYGiZ4fxvz5Gq","234213","4"
"26","0CJG8Ea1rkwW0CQ5U9f5Tm","I Hate Everything","George Strait","35","8/14/04","0","0.59","0.626","10","-7.304","1","0.0287","0.414","2e-04","0.269","0.486","90.966","audio_features","spotify:track:0CJG8Ea1rkwW0CQ5U9f5Tm","https://api.spotify.com/v1/tracks/0CJG8Ea1rkwW0CQ5U9f5Tm","https://api.spotify.com/v1/audio-analysis/0CJG8Ea1rkwW0CQ5U9f5Tm","234547","4"
"27","0CKba2KBPP9TFbh5Nf8i4P","Fast Cars And Freedom","Rascal Flatts","38","5/7/05","0","0.617","0.8","3","-4.669","0","0.0303","0.0172","0","0.179","0.635","117.955","audio_features","spotify:track:0CKba2KBPP9TFbh5Nf8i4P","https://api.spotify.com/v1/tracks/0CKba2KBPP9TFbh5Nf8i4P","https://api.spotify.com/v1/audio-analysis/0CKba2KBPP9TFbh5Nf8i4P","262187","4"
"28","0CofintZCm8MhxiOMrauiT","Get Gone","Ideal","13","8/21/99","0","0.702","0.52","10","-8.581","1","0.0725","0.435","0","0.299","0.47","120.005","audio_features","spotify:track:0CofintZCm8MhxiOMrauiT","https://api.spotify.com/v1/tracks/0CofintZCm8MhxiOMrauiT","https://api.spotify.com/v1/audio-analysis/0CofintZCm8MhxiOMrauiT","275173","4"
"29","0COqiPhxzoWICwFCS4eZcp","Bring Me To Life","Evanescence","5","3/15/03","1","0.316","0.945","4","-3.169","0","0.124","0.009","1.85e-06","0.396","0.303","189.931","audio_features","spotify:track:0COqiPhxzoWICwFCS4eZcp","https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp","https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp","235893","4"
"30","0d2YnyIPgmPQqNSzDg8s8Q","It's Been Awhile","StainD","5","4/14/01","1","0.509","0.774","6","-4.054","1","0.0338","0.0019","5e-04","0.143","0.078","116.529","audio_features","spotify:track:0d2YnyIPgmPQqNSzDg8s8Q","https://api.spotify.com/v1/tracks/0d2YnyIPgmPQqNSzDg8s8Q","https://api.spotify.com/v1/audio-analysis/0d2YnyIPgmPQqNSzDg8s8Q","264707","4"
"31","0DAVCurdi9ZqkVUKIuikzm","Prayin' For Daylight","Rascal Flatts","38","5/6/00","0","0.635","0.81","7","-3.086","1","0.0506","0.516","0","0.232","0.718","90.953","audio_features","spotify:track:0DAVCurdi9ZqkVUKIuikzm","https://api.spotify.com/v1/tracks/0DAVCurdi9ZqkVUKIuikzm","https://api.spotify.com/v1/audio-analysis/0DAVCurdi9ZqkVUKIuikzm","215600","4"
"32","0eKyHwckh9vQb8ncZ2DXCs","With Arms Wide Open","Creed","1","5/13/00","1","0.42","0.546","0","-8.476","1","0.033","0.0038","8e-04","0.118","0.121","138.946","audio_features","spotify:track:0eKyHwckh9vQb8ncZ2DXCs","https://api.spotify.com/v1/tracks/0eKyHwckh9vQb8ncZ2DXCs","https://api.spotify.com/v1/audio-analysis/0eKyHwckh9vQb8ncZ2DXCs","274800","4"
"33","0F7rEdewJ6cSLylOZZpDu7","I'm Sprung","T-Pain","8","8/27/05","1","0.722","0.329","0","-11.617","0","0.108","0.088","0","0.081","0.172","99.991","audio_features","spotify:track:0F7rEdewJ6cSLylOZZpDu7","https://api.spotify.com/v1/tracks/0F7rEdewJ6cSLylOZZpDu7","https://api.spotify.com/v1/audio-analysis/0F7rEdewJ6cSLylOZZpDu7","230713","4"
"34","0ffJDm1cI0tc7s80Yay2cL","Back When","Tim McGraw","30","10/23/04","0","0.604","0.759","7","-4.822","1","0.0279","0.0627","0","0.321","0.67","136.045","audio_features","spotify:track:0ffJDm1cI0tc7s80Yay2cL","https://api.spotify.com/v1/tracks/0ffJDm1cI0tc7s80Yay2cL","https://api.spotify.com/v1/audio-analysis/0ffJDm1cI0tc7s80Yay2cL","269893","4"
"35","0FmCLEHfINGqwlyzvklNqy","Holidae In","Chingy","3","9/20/03","1","0.81","0.791","7","-5.909","1","0.181","0.0893","0","0.0838","0.946","153.067","audio_features","spotify:track:0FmCLEHfINGqwlyzvklNqy","https://api.spotify.com/v1/tracks/0FmCLEHfINGqwlyzvklNqy","https://api.spotify.com/v1/audio-analysis/0FmCLEHfINGqwlyzvklNqy","314352","4"
"36","0fMQ5ossew8lPViAF27JS6","Big Chips","R. Kelly","39","10/23/04","0","0.739","0.674","9","-6.079","0","0.362","0.221","0","0.162","0.715","98.637","audio_features","spotify:track:0fMQ5ossew8lPViAF27JS6","https://api.spotify.com/v1/tracks/0fMQ5ossew8lPViAF27JS6","https://api.spotify.com/v1/audio-analysis/0fMQ5ossew8lPViAF27JS6","283093","4"
"37","0GkrLimxhiGAGb2lhS2arM","One Night Stand","J-Shin","34","12/25/99","0","0.811","0.56","1","-6.991","0","0.18","0.111","0","0.137","0.56","125.994","audio_features","spotify:track:0GkrLimxhiGAGb2lhS2arM","https://api.spotify.com/v1/tracks/0GkrLimxhiGAGb2lhS2arM","https://api.spotify.com/v1/audio-analysis/0GkrLimxhiGAGb2lhS2arM","274360","4"
"38","0gmbgwZ8iqyMPmXefof8Yf","How You Remind Me","Nickelback","1","9/8/01","1","0.443","0.766","10","-5.067","1","0.0329","0.0012","0","0.0973","0.495","172.14","audio_features","spotify:track:0gmbgwZ8iqyMPmXefof8Yf","https://api.spotify.com/v1/tracks/0gmbgwZ8iqyMPmXefof8Yf","https://api.spotify.com/v1/audio-analysis/0gmbgwZ8iqyMPmXefof8Yf","223747","4"
"39","0Gta6gzv6z2lMKwlnZj3R2","Rubber Band Man","T.I.","30","1/10/04","0","0.601","0.768","8","-5.712","1","0.386","0.141","0","0.482","0.631","152.45","audio_features","spotify:track:0Gta6gzv6z2lMKwlnZj3R2","https://api.spotify.com/v1/tracks/0Gta6gzv6z2lMKwlnZj3R2","https://api.spotify.com/v1/audio-analysis/0Gta6gzv6z2lMKwlnZj3R2","347507","4"
"40","0H2jfzzREOr9MF95HB7ry6","Love Is Blind","Eve","34","1/8/00","0","0.671","0.809","0","-4.824","1","0.32","0.28","0","0.18","0.577","176.228","audio_features","spotify:track:0H2jfzzREOr9MF95HB7ry6","https://api.spotify.com/v1/tracks/0H2jfzzREOr9MF95HB7ry6","https://api.spotify.com/v1/audio-analysis/0H2jfzzREOr9MF95HB7ry6","260307","4"
"41","0HJYzGavqzjiKMmm4F0UZv","Luv U Better","LL Cool J","4","8/31/02","1","0.646","0.812","6","-3.932","1","0.254","0.218","0","0.299","0.702","95.014","audio_features","spotify:track:0HJYzGavqzjiKMmm4F0UZv","https://api.spotify.com/v1/tracks/0HJYzGavqzjiKMmm4F0UZv","https://api.spotify.com/v1/audio-analysis/0HJYzGavqzjiKMmm4F0UZv","287000","4"
"42","0I3q5fE6wg7LIfHGngUTnV","Ms. Jackson","OutKast","1","11/11/00","1","0.843","0.805","4","-5.946","0","0.269","0.142","0","0.0771","0.62","94.946","audio_features","spotify:track:0I3q5fE6wg7LIfHGngUTnV","https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV","https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV","270507","4"
"43","0ieS2bue78yadTdPiyzsaO","Love Of My Life (An Ode To Hip Hop)","Erykah Badu","9","9/7/02","1","0.618","0.413","5","-9.311","0","0.398","0.134","3e-04","0.0913","0.456","87.412","audio_features","spotify:track:0ieS2bue78yadTdPiyzsaO","https://api.spotify.com/v1/tracks/0ieS2bue78yadTdPiyzsaO","https://api.spotify.com/v1/audio-analysis/0ieS2bue78yadTdPiyzsaO","337573","4"
"44","0iFOG4Ki9aDmJUYUFHQlPG","Frontin'","Pharrell","5","6/14/03","1","0.894","0.404","9","-5.913","0","0.13","0.453","1.57e-06","0.0801","0.776","102.009","audio_features","spotify:track:0iFOG4Ki9aDmJUYUFHQlPG","https://api.spotify.com/v1/tracks/0iFOG4Ki9aDmJUYUFHQlPG","https://api.spotify.com/v1/audio-analysis/0iFOG4Ki9aDmJUYUFHQlPG","236507","4"
"45","0Jh9EBGN205Yc7JN2zZ2f1","Bigger Than My Body","John Mayer","33","8/30/03","0","0.607","0.936","4","-3.071","1","0.033","0.0121","0.0418","0.309","0.507","117.303","audio_features","spotify:track:0Jh9EBGN205Yc7JN2zZ2f1","https://api.spotify.com/v1/tracks/0Jh9EBGN205Yc7JN2zZ2f1","https://api.spotify.com/v1/audio-analysis/0Jh9EBGN205Yc7JN2zZ2f1","265960","4"
"46","0jSIovJtKxEXH6vI4oRx7I","Let's Be Us Again","Lonestar","38","4/10/04","0","0.505","0.842","10","-3.316","1","0.0475","0.0576","0","0.111","0.665","172.136","audio_features","spotify:track:0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/tracks/0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/audio-analysis/0jSIovJtKxEXH6vI4oRx7I","208693","4"
"47","0jSIovJtKxEXH6vI4oRx7I","Let's Be Us Again","Lonestar","38","4/10/04","0","0.505","0.842","10","-3.316","1","0.0475","0.0576","0","0.111","0.665","172.136","audio_features","spotify:track:0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/tracks/0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/audio-analysis/0jSIovJtKxEXH6vI4oRx7I","208693","4"
"48","0jSIovJtKxEXH6vI4oRx7I","Mr. Mom","Lonestar","33","9/18/04","0","0.505","0.842","10","-3.316","1","0.0475","0.0576","0","0.111","0.665","172.136","audio_features","spotify:track:0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/tracks/0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/audio-analysis/0jSIovJtKxEXH6vI4oRx7I","208693","4"
"49","0jSIovJtKxEXH6vI4oRx7I","Mr. Mom","Lonestar","33","9/18/04","0","0.505","0.842","10","-3.316","1","0.0475","0.0576","0","0.111","0.665","172.136","audio_features","spotify:track:0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/tracks/0jSIovJtKxEXH6vI4oRx7I","https://api.spotify.com/v1/audio-analysis/0jSIovJtKxEXH6vI4oRx7I","208693","4"
"50","0KQx6HOpJueiSkztcS0r7D","Fallin'","Alicia Keys","1","6/16/01","1","0.653","0.609","11","-7.519","0","0.037","0.263","0.001","0.233","0.526","95.982","audio_features","spotify:track:0KQx6HOpJueiSkztcS0r7D","https://api.spotify.com/v1/tracks/0KQx6HOpJueiSkztcS0r7D","https://api.spotify.com/v1/audio-analysis/0KQx6HOpJueiSkztcS0r7D","210200","3"
"51","0kr6d8wHDQPlzuET33NVn6","All You Wanted","Michelle Branch","6","2/23/02","1","0.499","0.72","8","-9.101","1","0.0286","0.0047","0.003","0.122","0.676","96.103","audio_features","spotify:track:0kr6d8wHDQPlzuET33NVn6","https://api.spotify.com/v1/tracks/0kr6d8wHDQPlzuET33NVn6","https://api.spotify.com/v1/audio-analysis/0kr6d8wHDQPlzuET33NVn6","217680","4"
"52","0KT6DLAELYSbgfUemzwGPX","Heaven","DJ Sammy","8","6/1/02","1","0.565","0.942","8","-6.821","1","0.0518","0.0011","4e-04","0.152","0.563","137.972","audio_features","spotify:track:0KT6DLAELYSbgfUemzwGPX","https://api.spotify.com/v1/tracks/0KT6DLAELYSbgfUemzwGPX","https://api.spotify.com/v1/audio-analysis/0KT6DLAELYSbgfUemzwGPX","235000","4"
"53","0l3GEbH3CviUytD6iX4wzg","Right Thurr","Chingy","2","5/17/03","1","0.866","0.749","2","-3.977","1","0.253","0.15","0","0.0591","0.878","92.077","audio_features","spotify:track:0l3GEbH3CviUytD6iX4wzg","https://api.spotify.com/v1/tracks/0l3GEbH3CviUytD6iX4wzg","https://api.spotify.com/v1/audio-analysis/0l3GEbH3CviUytD6iX4wzg","249800","4"
"54","0mBmE1IzBpbhfwEU4nd4ew","Dig In","Lenny Kravitz","31","10/13/01","0","0.671","0.921","9","-3.878","1","0.0291","0.0129","0.0235","0.0579","0.844","118.424","audio_features","spotify:track:0mBmE1IzBpbhfwEU4nd4ew","https://api.spotify.com/v1/tracks/0mBmE1IzBpbhfwEU4nd4ew","https://api.spotify.com/v1/audio-analysis/0mBmE1IzBpbhfwEU4nd4ew","217533","4"
"55","0MsrWnxQZxPAcov7c74sSo","Boulevard Of Broken Dreams","Green Day","2","11/27/04","1","0.29","0.827","8","-3.451","1","0.0362","7e-04","2.55e-06","0.301","0.455","167.086","audio_features","spotify:track:0MsrWnxQZxPAcov7c74sSo","https://api.spotify.com/v1/tracks/0MsrWnxQZxPAcov7c74sSo","https://api.spotify.com/v1/audio-analysis/0MsrWnxQZxPAcov7c74sSo","493400","4"
"56","0n2SEXB2qoRQg171q7XqeW","Smooth","Santana","1","7/31/99","1","0.609","0.923","9","-3.908","1","0.0338","0.16","4.73e-06","0.295","0.96","115.996","audio_features","spotify:track:0n2SEXB2qoRQg171q7XqeW","https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW","https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW","294987","4"
"57","0O0ieeprNUzIbiOSnDg5Z0","Invisible","Clay Aiken","37","11/22/03","0","0.565","0.777","2","-5.516","0","0.037","0.152","0","0.35","0.594","110.092","audio_features","spotify:track:0O0ieeprNUzIbiOSnDg5Z0","https://api.spotify.com/v1/tracks/0O0ieeprNUzIbiOSnDg5Z0","https://api.spotify.com/v1/audio-analysis/0O0ieeprNUzIbiOSnDg5Z0","243867","4"
"58","0O5b1927V6FbLsZRtf7idi","Differences","Ginuwine","4","7/28/01","1","0.622","0.492","3","-8.305","0","0.0665","0.335","0","0.222","0.436","63.06","audio_features","spotify:track:0O5b1927V6FbLsZRtf7idi","https://api.spotify.com/v1/tracks/0O5b1927V6FbLsZRtf7idi","https://api.spotify.com/v1/audio-analysis/0O5b1927V6FbLsZRtf7idi","265813","4"
"59","0OaunKfsxkgBvPv68jBbmm","It Wasn't Me","Shaggy","1","11/4/00","1","0.849","0.619","0","-4.774","1","0.0695","0.0618","0","0.353","0.665","94.762","audio_features","spotify:track:0OaunKfsxkgBvPv68jBbmm","https://api.spotify.com/v1/tracks/0OaunKfsxkgBvPv68jBbmm","https://api.spotify.com/v1/audio-analysis/0OaunKfsxkgBvPv68jBbmm","227547","4"
"60","0OvwzS8FX73Bw7ykMRmffU","Put It On Me","Ja Rule","8","12/23/00","1","0.687","0.785","1","-4.953","0","0.325","0.0033","0","0.0516","0.78","186.244","audio_features","spotify:track:0OvwzS8FX73Bw7ykMRmffU","https://api.spotify.com/v1/tracks/0OvwzS8FX73Bw7ykMRmffU","https://api.spotify.com/v1/audio-analysis/0OvwzS8FX73Bw7ykMRmffU","262827","4"
"61","0Ox458KpvZQ1Kuj9mUNPLL","I Go Back","Kenny Chesney","32","6/12/04","0","0.513","0.805","5","-6.918","1","0.0466","0.0421","0","0.208","0.669","89.963","audio_features","spotify:track:0Ox458KpvZQ1Kuj9mUNPLL","https://api.spotify.com/v1/tracks/0Ox458KpvZQ1Kuj9mUNPLL","https://api.spotify.com/v1/audio-analysis/0Ox458KpvZQ1Kuj9mUNPLL","240347","4"
"62","0r2Bul2NuCViraT2zX1l5j","Get Low","Lil Jon & The East Side Boyz","2","5/3/03","1","0.521","0.625","1","-7.47","1","0.067","0.0301","0","0.121","0.132","101.019","audio_features","spotify:track:0r2Bul2NuCViraT2zX1l5j","https://api.spotify.com/v1/tracks/0r2Bul2NuCViraT2zX1l5j","https://api.spotify.com/v1/audio-analysis/0r2Bul2NuCViraT2zX1l5j","334067","4"
"63","0RFgvrhkf9FiDRLA0BhzpZ","Drift Away","Uncle Kracker","9","3/29/03","1","0.583","0.66","11","-5.078","1","0.0377","0.181","0","0.0979","0.858","151.956","audio_features","spotify:track:0RFgvrhkf9FiDRLA0BhzpZ","https://api.spotify.com/v1/tracks/0RFgvrhkf9FiDRLA0BhzpZ","https://api.spotify.com/v1/audio-analysis/0RFgvrhkf9FiDRLA0BhzpZ","255560","4"
"64","0rimetBQIYXE3uMCbuXBUa","A Woman's Worth","Alicia Keys","7","10/27/01","1","0.667","0.41","4","-8.323","0","0.138","0.331","0","0.064","0.496","75.069","audio_features","spotify:track:0rimetBQIYXE3uMCbuXBUa","https://api.spotify.com/v1/tracks/0rimetBQIYXE3uMCbuXBUa","https://api.spotify.com/v1/audio-analysis/0rimetBQIYXE3uMCbuXBUa","303333","4"
"65","0RmXtDH1cBMGImRrmn5xL6","Turn Me On","Kevin Lyttle","4","5/22/04","1","0.677","0.682","9","-6.879","1","0.0361","0.0405","0","0.0351","0.884","106.279","audio_features","spotify:track:0RmXtDH1cBMGImRrmn5xL6","https://api.spotify.com/v1/tracks/0RmXtDH1cBMGImRrmn5xL6","https://api.spotify.com/v1/audio-analysis/0RmXtDH1cBMGImRrmn5xL6","192107","4"
